"chapter","file","description","lines","has_main"
"cap08","repositorio_competitive/cap08/04-matrix-chain.cpp","Matrix Chain","76","yes"
"cap08","repositorio_competitive/cap08/05-coin-change.cpp","Coin Change","113","yes"
"cap08","repositorio_competitive/cap08/06-grid-min-cost.cpp","Grid Min Cost","119","yes"
"cap08","repositorio_competitive/cap08/07-board-game.cpp","Board Game","96","yes"
"cap08","repositorio_competitive/cap08/08-golden-route.cpp","Golden Route","40","yes"
"cap08","repositorio_competitive/cap08/09-masked-duel.cpp","Masked Duel","30","yes"
"cap08","repositorio_competitive/cap08/10-rising-notes.cpp","Rising Notes","27","yes"
"cap08","repositorio_competitive/cap08/11-twin-caravans.cpp","Twin Caravans","78","yes"
"cap08","repositorio_competitive/cap08/12-festival-canopies.cpp","Festival Canopies","47","yes"
"cap08","repositorio_competitive/cap08/13-skyward-boxes.cpp","Skyward Boxes","59","yes"
"cap08","repositorio_competitive/cap08/14-merge-ceremony.cpp","Merge Ceremony","52","yes"
"cap09","repositorio_competitive/cap09/01-graph-traversal.cpp","Graph Traversal","159","yes"
"cap09","repositorio_competitive/cap09/02-shortest-paths.cpp","Shortest Paths","134","yes"
"cap09","repositorio_competitive/cap09/03-mst.cpp","Mst","119","yes"
"cap09","repositorio_competitive/cap09/04-scc-lca.cpp","Scc Lca","155","yes"
"cap09","repositorio_competitive/cap09/05-grid-portals-01-bfs.cpp","Grid Portals 01 Bfs","108","yes"
"cap09","repositorio_competitive/cap09/06-max-flow.cpp","Max Flow","159","yes"
"cap09","repositorio_competitive/cap09/07-rescue-grid.cpp","Rescue Grid","74","yes"
"cap09","repositorio_competitive/cap09/08-painted-provinces.cpp","Painted Provinces","62","yes"
"cap09","repositorio_competitive/cap09/09-night-express.cpp","Night Express","60","yes"
"cap09","repositorio_competitive/cap09/10-clockwork-tasks.cpp","Clockwork Tasks","58","yes"
"cap09","repositorio_competitive/cap09/11-longest-trail.cpp","Longest Trail","63","yes"
